"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 05 13:07:47 GMT 2023","Mon Jun 05 13:07:48 GMT 2023","1703","","switchingPages.SwitchingToAccountTest","","switchingPages.SwitchingToAccountTest","switchingSuccessfullyToAccountPageWithAuth","switchingSuccessfullyToAccountPageWithAuth",""
"passed","Mon Jun 05 13:07:50 GMT 2023","Mon Jun 05 13:07:52 GMT 2023","1400","","login.LoginTest","","login.LoginTest","loginSuccessfullyFromHomePage","loginSuccessfullyFromHomePage",""
"passed","Mon Jun 05 13:07:53 GMT 2023","Mon Jun 05 13:07:54 GMT 2023","1196","","login.LoginTest","","login.LoginTest","loginSuccessfullyFromAccountButton","loginSuccessfullyFromAccountButton",""
"passed","Mon Jun 05 13:07:49 GMT 2023","Mon Jun 05 13:07:50 GMT 2023","739","","constructor.IngredientSelectionTest","","constructor.IngredientSelectionTest","switchingBunsTabsSuccessfully","switchingBunsTabsSuccessfully",""
"passed","Mon Jun 05 13:07:56 GMT 2023","Mon Jun 05 13:07:58 GMT 2023","2305","","logout.LogoutTest","","logout.LogoutTest","logoutSuccessfully","logoutSuccessfully",""
"passed","Mon Jun 05 13:07:50 GMT 2023","Mon Jun 05 13:07:50 GMT 2023","671","","constructor.IngredientSelectionTest","","constructor.IngredientSelectionTest","switchingSaucesTabsSuccessfully","switchingSaucesTabsSuccessfully",""
"passed","Mon Jun 05 13:07:24 GMT 2023","Mon Jun 05 13:07:43 GMT 2023","18327","","registration.NewRegistrationTest","","registration.NewRegistrationTest","makeFailedRegistrationWithInvalidPassword","makeFailedRegistrationWithInvalidPassword",""
"passed","Mon Jun 05 13:07:52 GMT 2023","Mon Jun 05 13:07:53 GMT 2023","1129","","login.LoginTest","","login.LoginTest","loginSuccessfullyFromPasswordRecoveryPage","loginSuccessfullyFromPasswordRecoveryPage",""
"passed","Mon Jun 05 13:07:44 GMT 2023","Mon Jun 05 13:07:46 GMT 2023","2094","","switchingPages.SwitchingToConstructorTest","","switchingPages.SwitchingToConstructorTest","switchingSuccessfullyToConstructor","switchingSuccessfullyToConstructor",""
"passed","Mon Jun 05 13:07:48 GMT 2023","Mon Jun 05 13:07:49 GMT 2023","684","","constructor.IngredientSelectionTest","","constructor.IngredientSelectionTest","switchingFillingTabsSuccessfully","switchingFillingTabsSuccessfully",""
"failed","Mon Jun 05 13:07:43 GMT 2023","Mon Jun 05 13:07:44 GMT 2023","891","","registration.NewRegistrationTest","","registration.NewRegistrationTest","makeSuccessfulRegistration","makeSuccessfulRegistration",""
"passed","Mon Jun 05 13:07:54 GMT 2023","Mon Jun 05 13:07:56 GMT 2023","1367","","login.LoginTest","","login.LoginTest","loginSuccessfullyFromRegisterPage","loginSuccessfullyFromRegisterPage",""
"passed","Mon Jun 05 13:07:46 GMT 2023","Mon Jun 05 13:07:47 GMT 2023","706","","switchingPages.SwitchingToAccountTest","","switchingPages.SwitchingToAccountTest","switchingSuccessfullyToAccountPageWithoutAuth","switchingSuccessfullyToAccountPageWithoutAuth",""
